time_s,request_rate_rps,avg_service_time_ms,pool_size,p99_ms,cpu_usage_pct,heap_used_pct,queue_length
1,519,159.9040799,48,218.8158133,57.39336797,33.31097781,36.87027703
2,527,221.5935973,48,270.576063,56.83143184,33.23117135,35.05998875
3,465,158.3466136,48,212.0762897,49.63560367,34.4898369,24.78227936
4,518,178.4929952,48,225.9493065,54.95084386,32.98131386,36.81877035
5,471,210.8683487,48,231.0519041,51.37027524,33.36536493,29.84142374
6,492,206.7086385,48,262.0707269,54.21930724,33.6628476,24.93711338
7,509,217.4069849,48,252.815201,55.15708755,34.28288778,32.62373073
8,496,183.0187508,48,225.9158432,56.12839501,34.58605391,19.52648471
9,503,187.9629021,48,222.9372447,55.92589503,34.35356226,29.81396479
10,524,167.9217708,48,229.5678688,57.08783444,33.91941087,37.20401038
11,518,157.5073471,48,217.2083749,57.2951005,34.62231532,32.02205688
12,519,162.3397788,48,214.1212343,56.27922443,34.64809341,35.43907664
13,498,212.8272554,48,264.2805353,55.61188608,33.48501772,32.12802078
14,474,192.0527201,48,239.9374951,51.04691778,33.40647075,28.63127201
15,488,169.9349703,48,211.5236067,55.53823538,34.02077862,26.67308566
16,498,212.4520651,48,244.9840097,55.21247894,33.45345923,34.56354497
17,471,220.9264927,48,257.9407477,56.19109873,34.57988092,34.45747602
18,481,243.4348702,48,254.3001793,55.01407274,33.62514696,26.80152918
19,496,238.9310538,48,286.5514033,55.51002037,34.50137917,26.57854046
20,513,179.0772674,48,219.0847655,54.97193598,33.86343626,31.02863853
21,524,222.9709076,48,261.0042356,55.83107924,34.17071624,31.2537922
22,493,180.6738223,48,237.006679,54.60161281,33.67190106,26.87476268
23,512,200.5560558,48,246.7692024,57.46758397,33.8982587,30.03633192
24,479,216.3651337,48,259.0144279,51.66247978,34.54675799,31.85603359
25,520,213.6614861,48,258.1586114,58.18834961,33.17055568,32.1790977
26,514,256.3481365,48,265.2060581,56.73261701,34.38478979,35.96929764
27,497,225.2646321,48,266.1603963,54.88740539,34.17394791,28.08318158
28,472,212.6341445,48,247.4953947,51.66602548,34.54512655,38.88940958
29,511,201.3720118,48,226.5403246,56.6548237,34.90008634,31.51682961
30,504,226.7209809,48,279.1113015,54.52438492,33.78877646,27.7994507
31,509,213.0240414,52,244.6246701,55.86126475,33.61926989,35.76660342
32,504,172.7359544,52,215.2582706,53.00664409,33.88962906,28.48746204
33,480,198.7606891,52,228.0135613,52.08659159,35.41164209,34.83781858
34,527,158.1798653,52,215.3129624,56.99810709,34.32947308,32.08684392
35,454,202.6772086,52,223.0054152,51.32993194,33.91274483,32.33643102
36,486,206.5843299,52,222.7359014,53.84137118,35.77873189,29.95881178
37,504,154.3658461,52,196.6001487,56.99704301,34.67971358,28.73920219
38,511,225.598526,52,257.3148919,55.85222819,34.8546029,32.67646771
39,523,179.8242477,52,216.7795565,59.29232427,33.78634145,30.6662788
40,515,207.402192,52,225.5420608,58.77511032,34.63344475,30.81604818
41,475,212.4635825,52,243.7636767,52.35504038,33.41939665,36.45063517
42,474,204.1685142,52,234.8318365,52.34080669,33.84199978,28.70802295
43,497,179.4361559,52,211.1313512,55.65388313,34.23909283,22.75618788
44,487,200.698747,52,217.4104302,55.72801665,35.22152047,27.92403502
45,491,179.9471637,52,215.0272294,55.23044316,34.43881667,24.529717
46,536,253.1350314,52,244.7763731,57.55526776,33.42640486,37.91327504
47,519,223.7953778,52,257.6723554,56.53553365,34.33300212,25.71945088
48,497,159.5314768,52,212.173058,54.7209906,34.00536221,24.53367753
49,465,233.6773302,52,219.61294,54.78962941,33.87433496,32.31752359
50,497,218.468529,52,245.7141803,54.97998533,34.62180578,29.11210723
51,487,218.2797168,52,219.7268199,54.94467413,34.56088732,35.55319387
52,476,203.9866645,52,219.354004,52.0101289,34.47639263,34.99186343
53,518,205.4944562,52,239.9025773,57.36116795,33.75107959,32.18303842
54,496,166.2019882,52,180.3610866,57.85715402,34.6602695,29.86091627
55,505,229.3637706,52,257.9629332,55.39706176,33.5317298,23.93012148
56,463,164.133215,52,214.8530185,52.67390983,34.19026155,23.81014219
57,489,219.9724211,52,240.8775994,54.41243719,34.21329052,32.94584931
58,467,176.7075142,52,198.715369,51.87687777,33.72269538,30.02715025
59,476,172.8850014,52,198.5039547,52.71269154,33.4538371,18.15830321
60,505,192.2845405,52,226.0897218,56.77309822,34.27616678,28.31704501
61,506,199.2645274,58,220.6601863,58.08273479,34.26573602,25.44317162
62,557,193.8850921,58,208.0227683,57.95843028,35.02107235,28.95538098
63,520,226.1746855,58,226.4550819,58.45695394,33.87750973,23.27768094
64,499,198.5380505,58,218.7255732,55.53124178,34.16556374,22.55119163
65,544,151.9217401,58,213.1978942,59.42051679,33.89865297,25.59173609
66,498,188.1210081,58,213.3956225,56.5531085,33.94105209,23.33672964
67,489,159.286282,58,187.8691301,52.82634599,34.16082166,15.79935556
68,496,234.6304466,58,218.0007889,56.51518354,34.56838934,27.91512885
69,472,236.2215238,58,261.1248234,54.50631337,34.40154396,28.2454588
70,468,204.4639299,58,219.0420916,52.5615496,34.25877112,27.69632196
71,485,198.6889189,58,213.1849498,53.93525484,34.57025543,27.11454549
72,515,177.8373478,58,194.1680137,57.80943926,33.82060787,28.39025349
73,467,210.9266159,58,235.4585507,52.60256371,33.91168596,27.34810816
74,481,235.8787175,58,229.9138609,55.06042014,35.18733878,36.01034895
75,503,185.2288363,58,197.2446007,56.89971443,34.47046928,19.10439772
76,524,170.3850733,58,205.2647891,62.14273094,33.65376538,26.68272985
77,488,153.0102799,58,188.0585831,57.07780395,34.49244365,19.86442563
78,486,218.8833585,58,210.6435672,56.19152847,34.50698561,29.03027115
79,475,176.6889942,58,182.4512172,53.94217056,34.33523505,22.55295601
80,496,168.6590743,58,204.1292468,55.06894218,35.19448032,29.17253273
81,532,183.9490983,58,204.0908972,59.72582861,34.63572409,34.30599471
82,532,185.9623142,58,210.7831375,61.00058712,34.56806078,30.48663592
83,501,207.5892786,58,227.3823667,55.0531936,34.26043691,19.87027663
84,519,246.2348597,58,248.9455506,57.42283205,35.06888043,32.6851366
85,492,192.3197048,58,205.0651882,57.69704364,34.73755404,23.47962487
86,517,233.614073,58,222.7160975,57.39554819,34.62017163,29.1823676
87,544,171.7182503,58,209.8555322,57.59311529,34.08625376,30.16409294
88,470,228.2168228,58,230.8432545,55.08764781,34.34809296,32.41170876
89,474,182.4259514,58,212.855427,53.99081189,34.15611373,28.11500401
90,506,212.7090516,58,216.0950929,54.78929388,33.01804948,35.10763424
91,478,211.9540489,60,250.7237485,55.85269456,35.00741192,30.86080195
92,500,173.6001723,60,203.1220817,59.68727411,34.91477913,26.44952039
93,471,234.4555838,60,267.5977095,53.80335484,35.08945972,31.67522263
94,470,245.3727718,60,260.2269679,53.06470352,34.28967239,31.00569337
95,513,226.4153532,60,242.4512542,59.91832844,34.07677079,31.20559374
96,479,186.3215077,60,228.3370898,56.10728638,34.27764019,31.03595148
97,514,200.1413477,60,209.2063549,59.16130668,34.47331849,23.42451902
98,471,200.3852005,60,260.8245347,52.4016524,34.01584259,31.25774169
99,541,180.0671017,60,208.5218427,60.33075917,33.78627424,28.24321619
100,487,216.8801219,60,239.9748254,55.19221673,34.24759382,32.66150782
101,486,218.4166035,60,242.1224198,54.87343189,35.26924062,30.33848565
102,509,184.8576453,60,199.7192267,59.52658836,34.28685915,21.65295136
103,472,233.1282061,60,275.1546541,53.32605628,34.59099519,25.11894039
104,543,234.5592018,60,222.6565572,60.34108672,35.0103787,33.8791306
105,498,201.5454401,60,233.2559147,56.2220629,34.41511517,25.72569321
106,524,192.4900635,60,210.7568042,60.50348445,33.59039833,31.50608964
107,481,215.5014061,60,243.359127,54.76166251,34.55835888,32.7434519
108,507,216.6055135,60,243.4904807,58.30588983,34.77780912,26.53477927
109,507,240.7462662,60,248.4108926,58.11848434,34.46532941,27.74461113
110,492,194.5345405,60,240.5176114,57.12960431,34.72817148,24.25168476
111,510,246.1271275,60,260.1737105,56.12845503,34.374289,29.85088567
112,497,182.9482279,60,211.1823125,55.71284661,34.46660796,17.74234028
113,482,162.1095378,60,205.6642366,58.48229235,34.9646501,24.8850872
114,523,219.0630391,60,228.7137931,57.43417974,34.37436916,24.59946625
115,457,198.8897779,60,260.7061941,49.12236128,34.24851599,21.68675159
116,473,198.1842767,60,253.0745117,54.89311685,34.2747677,31.70250301
117,487,174.3901033,60,218.0384296,55.16746152,34.95377365,21.53550476
118,539,181.623061,60,217.7856649,57.98776506,33.93841533,32.5000337
119,485,203.098972,60,245.9729981,58.39798357,34.98598349,32.81253547
120,469,210.1416333,60,272.696382,53.66495783,34.19425056,21.70996561
121,452,158.8666328,60,273.6989835,47.25132624,35.81456814,26.72703773
122,451,145.0262785,60,262.5923172,45.80176107,33.74049467,15.9544433
123,512,239.7174984,60,235.3288548,58.73683187,35.1421665,23.28932319
124,488,209.4359053,60,242.6622163,56.02889408,35.31795605,27.97325968
125,530,225.9831525,60,230.6476026,56.69739691,34.31136053,22.23980277
126,445,218.195893,60,329.7489139,43.19698685,35.27375694,12.6194331
127,482,213.3308681,60,234.6373121,56.57498268,34.23600881,32.28510449
128,504,226.9702414,60,260.4492086,58.01788674,34.74139571,21.93312765
129,449,206.0331896,60,315.0349365,42.8928023,36.22717514,21.9161692
130,501,207.2269051,60,237.9936251,56.39087677,35.03980575,20.29013071
131,525,175.3344296,60,199.397006,60.51660196,34.08694567,28.15957233
132,540,188.9073592,60,225.4380109,57.69024089,35.37516371,32.58761745
133,519,176.3224044,60,201.7045781,61.29877632,34.33745228,33.28796453
134,519,236.816929,60,241.3339513,58.54265206,36.01421615,25.47376233
135,502,244.3753606,60,277.6387169,56.38875205,35.37803295,20.1383674
136,527,193.158841,60,195.7378246,61.16399408,33.73388225,30.89596681
137,493,193.2211417,60,229.3840979,55.28061633,34.53003469,21.95931531
138,484,156.9804829,60,194.798563,54.42536576,34.53206871,23.19630025
139,499,175.1327202,60,214.3151766,58.44764501,34.39930487,20.92516012
140,481,218.8870901,60,233.3534467,57.00749541,35.41164701,32.81338693
141,491,207.020972,60,241.1013321,58.46051547,35.03970685,26.98058904
142,492,204.4153955,60,235.2062608,57.24355324,34.66948639,30.75101871
143,537,169.844486,60,191.0373631,60.95168339,34.10562218,23.55653232
144,489,179.1656214,60,213.8466356,56.58645104,34.67440623,24.80060397
145,526,195.1169816,60,213.1271538,57.22773188,35.27385765,27.67346932
146,522,178.6329839,60,212.0086429,59.02291555,34.1179279,25.60769454
147,509,249.7933146,60,243.6761089,59.43022639,34.60526861,28.65549155
148,516,150.4590804,60,186.5074207,60.0733954,34.22616892,26.60167496
149,513,201.629402,60,215.2548646,59.07447393,33.88784967,25.74909975
150,471,230.252002,60,269.2258011,50.878795,33.03983245,26.70486522
151,465,202.6844644,62,326.5830917,39.97792679,36.65756264,10.66320703
152,463,166.9983556,62,324.2320258,39.47366197,34.94593105,13.28473934
153,521,192.2364411,62,225.5583859,58.61185445,34.72150807,35.38430055
154,520,169.4480706,62,215.4533448,59.29221949,33.83514745,28.67851665
155,548,200.8721441,62,212.6211916,60.08139892,34.13994035,29.05046833
156,506,153.6801608,62,213.8739976,56.58009251,34.76029411,24.50545259
157,507,249.6539935,62,244.7428555,57.96957123,34.68269013,23.29781607
158,504,228.1450034,62,287.2590078,59.44123652,33.23501708,20.34618948
159,498,241.4042077,62,292.0976402,57.42165775,34.2054595,23.72099336
160,518,169.1883192,62,215.7664802,59.29093418,33.98734064,25.86507674
161,499,219.8033194,62,290.7232378,57.56375594,33.77251587,29.97796395
162,542,181.3879681,62,218.9956775,60.86766031,34.32354565,33.63550237
163,469,197.3983655,62,335.5332413,42.80417804,36.55243241,13.68856752
